# recorded: Mon May  4 12:21:59 2020
# sweep_type: iv
# Voltage [V]	Current [A]
0.000000000000000000e+00	1.892990000000000098e-09
1.000000000000000000e+00	2.823349999999999933e-08
2.000000000000000000e+00	5.290859999999999905e-08
3.000000000000000000e+00	7.714250000000000405e-08
4.000000000000000000e+00	1.011840000000000013e-07
5.000000000000000000e+00	1.272359999999999887e-07
6.000000000000000000e+00	1.552009999999999880e-07
7.000000000000000000e+00	1.865989999999999889e-07
8.000000000000000000e+00	2.221000000000000102e-07
9.000000000000000000e+00	2.609699999999999870e-07
