# recorded: Mon May  4 12:30:29 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-2.285489999999999831e-03
-1.900000000000000000e+01	-2.016800000000000016e-03
-1.800000000000000000e+01	-1.772259999999999894e-03
-1.700000000000000000e+01	-1.544409999999999967e-03
-1.600000000000000000e+01	-1.329930000000000001e-03
-1.500000000000000000e+01	-1.131819999999999962e-03
-1.400000000000000000e+01	-9.488489999999999815e-04
-1.300000000000000000e+01	-7.798030000000000283e-04
-1.200000000000000000e+01	-6.253530000000000416e-04
-1.100000000000000000e+01	-4.852300000000000146e-04
-1.000000000000000000e+01	-3.627209999999999853e-04
-9.000000000000000000e+00	-2.573310000000000202e-04
-8.000000000000000000e+00	-1.697760000000000089e-04
-7.000000000000000000e+00	-1.016159999999999975e-04
-6.000000000000000000e+00	-5.179619999999999716e-05
-5.000000000000000000e+00	-1.950370000000000098e-05
-4.000000000000000000e+00	-4.265929999999999660e-06
-3.000000000000000000e+00	-3.676780000000000184e-07
-2.000000000000000000e+00	-3.434259999999999678e-08
-1.000000000000000000e+00	-1.729869999999999859e-08
0.000000000000000000e+00	1.780170000000000068e-09
1.000000000000000000e+00	2.303610000000000072e-08
2.000000000000000000e+00	4.316450000000000247e-08
3.000000000000000000e+00	6.344190000000000113e-08
4.000000000000000000e+00	8.529780000000000296e-08
5.000000000000000000e+00	1.085779999999999946e-07
6.000000000000000000e+00	1.355620000000000065e-07
7.000000000000000000e+00	1.663389999999999915e-07
8.000000000000000000e+00	2.029689999999999959e-07
9.000000000000000000e+00	2.480069999999999787e-07
1.000000000000000000e+01	2.968989999999999906e-07
1.100000000000000000e+01	3.446080000000000111e-07
1.200000000000000000e+01	3.905270000000000135e-07
1.300000000000000000e+01	4.350199999999999871e-07
1.400000000000000000e+01	4.782669999999999773e-07
1.500000000000000000e+01	5.205209999999999796e-07
1.600000000000000000e+01	5.614279999999999634e-07
1.700000000000000000e+01	6.021129999999999601e-07
1.800000000000000000e+01	6.433150000000000401e-07
1.900000000000000000e+01	6.874079999999999837e-07
