# recorded: Tue May  5 14:48:23 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-2.284260000000000197e-03
-1.900000000000000000e+01	-2.019599999999999868e-03
-1.800000000000000000e+01	-1.768470000000000068e-03
-1.700000000000000000e+01	-1.534980000000000025e-03
-1.600000000000000000e+01	-1.318879999999999922e-03
-1.500000000000000000e+01	-1.117310000000000048e-03
-1.400000000000000000e+01	-9.321890000000000428e-04
-1.300000000000000000e+01	-7.605549999999999984e-04
-1.200000000000000000e+01	-6.051319999999999789e-04
-1.100000000000000000e+01	-4.650540000000000099e-04
-1.000000000000000000e+01	-3.422489999999999821e-04
-9.000000000000000000e+00	-2.376230000000000117e-04
-8.000000000000000000e+00	-1.512440000000000041e-04
-7.000000000000000000e+00	-8.405940000000000363e-05
-6.000000000000000000e+00	-3.656650000000000303e-05
-5.000000000000000000e+00	-1.080940000000000022e-05
-4.000000000000000000e+00	-2.265790000000000121e-06
-3.000000000000000000e+00	-2.209859999999999911e-07
-2.000000000000000000e+00	-2.848069999999999906e-08
-1.000000000000000000e+00	-1.409309999999999965e-08
0.000000000000000000e+00	1.229669999999999953e-09
1.000000000000000000e+00	1.737189999999999954e-08
2.000000000000000000e+00	3.263060000000000104e-08
3.000000000000000000e+00	4.750299999999999861e-08
4.000000000000000000e+00	6.245730000000000434e-08
5.000000000000000000e+00	7.759450000000000042e-08
6.000000000000000000e+00	9.301890000000000187e-08
7.000000000000000000e+00	1.087270000000000047e-07
8.000000000000000000e+00	1.262579999999999914e-07
9.000000000000000000e+00	1.449819999999999942e-07
1.000000000000000000e+01	1.661129999999999999e-07
1.100000000000000000e+01	1.889159999999999957e-07
1.200000000000000000e+01	2.128500000000000034e-07
1.300000000000000000e+01	2.375119999999999896e-07
1.400000000000000000e+01	2.611210000000000259e-07
1.500000000000000000e+01	2.851669999999999753e-07
1.600000000000000000e+01	3.084640000000000019e-07
1.700000000000000000e+01	3.319819999999999879e-07
1.800000000000000000e+01	3.556539999999999897e-07
1.900000000000000000e+01	3.794449999999999940e-07
