# recorded: Tue May 12 18:39:11 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-3.317520000000000018e-03
-1.900000000000000000e+01	-2.927610000000000195e-03
-1.800000000000000000e+01	-2.563279999999999812e-03
-1.700000000000000000e+01	-2.230100000000000051e-03
-1.600000000000000000e+01	-1.914649999999999946e-03
-1.500000000000000000e+01	-1.623179999999999892e-03
-1.400000000000000000e+01	-1.356320000000000052e-03
-1.300000000000000000e+01	-1.111779999999999930e-03
-1.200000000000000000e+01	-8.921130000000000422e-04
-1.100000000000000000e+01	-6.954069999999999913e-04
-1.000000000000000000e+01	-5.255429999999999520e-04
-9.000000000000000000e+00	-3.806850000000000186e-04
-8.000000000000000000e+00	-2.613879999999999849e-04
-7.000000000000000000e+00	-1.659800000000000067e-04
-6.000000000000000000e+00	-9.359279999999999607e-05
-5.000000000000000000e+00	-4.264999999999999992e-05
-4.000000000000000000e+00	-1.221299999999999979e-05
-3.000000000000000000e+00	-1.139110000000000093e-06
-2.000000000000000000e+00	-1.807109999999999894e-08
-1.000000000000000000e+00	-7.317649999999999851e-09
