# recorded: Thu May 28 11:27:28 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-2.690160000000000034e-03
-1.900000000000000000e+01	-2.406859999999999816e-03
-1.800000000000000000e+01	-2.129910000000000050e-03
-1.700000000000000000e+01	-1.868740000000000028e-03
-1.600000000000000000e+01	-1.626620000000000062e-03
-1.500000000000000000e+01	-1.401750000000000001e-03
-1.400000000000000000e+01	-1.193810000000000010e-03
-1.300000000000000000e+01	-1.001050000000000073e-03
-1.200000000000000000e+01	-8.217829999999999753e-04
-1.100000000000000000e+01	-6.607540000000000505e-04
-1.000000000000000000e+01	-5.158899999999999684e-04
-9.000000000000000000e+00	-3.883100000000000007e-04
-8.000000000000000000e+00	-2.781559999999999979e-04
-7.000000000000000000e+00	-1.864939999999999935e-04
-6.000000000000000000e+00	-1.121709999999999938e-04
-5.000000000000000000e+00	-5.441789999999999952e-05
-4.000000000000000000e+00	-1.380490000000000059e-05
-3.000000000000000000e+00	-7.317430000000000429e-07
-2.000000000000000000e+00	-4.038299999999999838e-08
-1.000000000000000000e+00	-1.665169999999999948e-08
