# recorded: Tue Jun  9 16:59:19 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-5.500000000000000000e+01	-7.196050000000000330e-05
-5.400000000000000000e+01	-7.294399999999999821e-05
-5.300000000000000000e+01	-7.271820000000000454e-05
-5.200000000000000000e+01	-7.203399999999999506e-05
-5.100000000000000000e+01	-7.088260000000000470e-05
-5.000000000000000000e+01	-6.931789999999999577e-05
-4.900000000000000000e+01	-6.668110000000000096e-05
-4.800000000000000000e+01	-6.364429999999999643e-05
-4.700000000000000000e+01	-5.988149999999999918e-05
-4.600000000000000000e+01	-5.540460000000000144e-05
-4.500000000000000000e+01	-5.050259999999999992e-05
-4.400000000000000000e+01	-4.567340000000000218e-05
-4.300000000000000000e+01	-4.136909999999999665e-05
-4.200000000000000000e+01	-3.764990000000000014e-05
-4.100000000000000000e+01	-3.437259999999999681e-05
-4.000000000000000000e+01	-3.157279999999999695e-05
-3.900000000000000000e+01	-2.919930000000000011e-05
-3.800000000000000000e+01	-2.716529999999999892e-05
-3.700000000000000000e+01	-2.535929999999999960e-05
-3.600000000000000000e+01	-2.378639999999999981e-05
-3.500000000000000000e+01	-2.237359999999999870e-05
-3.400000000000000000e+01	-2.109980000000000083e-05
-3.300000000000000000e+01	-1.989780000000000116e-05
-3.200000000000000000e+01	-1.882279999999999874e-05
-3.100000000000000000e+01	-1.782060000000000011e-05
-3.000000000000000000e+01	-1.682959999999999892e-05
-2.900000000000000000e+01	-1.600410000000000149e-05
-2.800000000000000000e+01	-1.521930000000000013e-05
-2.700000000000000000e+01	-1.444719999999999951e-05
-2.600000000000000000e+01	-1.371869999999999962e-05
-2.500000000000000000e+01	-1.302150000000000060e-05
-2.400000000000000000e+01	-1.235519999999999988e-05
-2.300000000000000000e+01	-1.172120000000000053e-05
-2.200000000000000000e+01	-1.111179999999999922e-05
-2.100000000000000000e+01	-1.052699999999999933e-05
-2.000000000000000000e+01	-9.943180000000000234e-06
-1.900000000000000000e+01	-9.388859999999999754e-06
-1.800000000000000000e+01	-8.850370000000000443e-06
-1.700000000000000000e+01	-8.319470000000000155e-06
-1.600000000000000000e+01	-7.796489999999999955e-06
-1.500000000000000000e+01	-7.282680000000000041e-06
-1.400000000000000000e+01	-6.774399999999999887e-06
-1.300000000000000000e+01	-6.270730000000000353e-06
-1.200000000000000000e+01	-5.772139999999999593e-06
-1.100000000000000000e+01	-5.273270000000000420e-06
-1.000000000000000000e+01	-4.776870000000000396e-06
-9.000000000000000000e+00	-4.281939999999999867e-06
-8.000000000000000000e+00	-3.785550000000000119e-06
-7.000000000000000000e+00	-3.288430000000000125e-06
-6.000000000000000000e+00	-2.791409999999999927e-06
-5.000000000000000000e+00	-2.290080000000000188e-06
-4.000000000000000000e+00	-1.783980000000000070e-06
-3.000000000000000000e+00	-1.276340000000000006e-06
-2.000000000000000000e+00	-7.632790000000000150e-07
-1.000000000000000000e+00	-2.423899999999999887e-07
0.000000000000000000e+00	2.806210000000000086e-07
1.000000000000000000e+00	8.131829999999999568e-07
2.000000000000000000e+00	1.354690000000000069e-06
