# recorded: Tue Jun  9 17:00:14 2020
# sweep_type: iv
# Voltage [V]	Current [A]
5.900000000000000000e+01	4.207789999999999908e-05
5.800000000000000000e+01	3.882589999999999701e-05
5.700000000000000000e+01	3.669220000000000082e-05
5.600000000000000000e+01	3.472189999999999700e-05
5.500000000000000000e+01	3.294390000000000149e-05
5.400000000000000000e+01	3.143179999999999949e-05
5.300000000000000000e+01	3.004689999999999857e-05
5.200000000000000000e+01	2.875839999999999896e-05
5.100000000000000000e+01	2.758840000000000169e-05
5.000000000000000000e+01	2.651120000000000123e-05
4.900000000000000000e+01	2.551600000000000100e-05
4.800000000000000000e+01	2.460529999999999971e-05
4.700000000000000000e+01	2.376119999999999876e-05
4.600000000000000000e+01	2.297029999999999927e-05
4.500000000000000000e+01	2.222429999999999997e-05
4.400000000000000000e+01	2.151380000000000059e-05
4.300000000000000000e+01	2.083720000000000101e-05
4.200000000000000000e+01	2.019349999999999902e-05
4.100000000000000000e+01	1.957460000000000059e-05
4.000000000000000000e+01	1.898150000000000114e-05
3.900000000000000000e+01	1.840530000000000147e-05
3.800000000000000000e+01	1.784919999999999844e-05
3.700000000000000000e+01	1.731290000000000156e-05
3.600000000000000000e+01	1.679350000000000108e-05
3.500000000000000000e+01	1.624129999999999983e-05
3.400000000000000000e+01	1.575759999999999970e-05
3.300000000000000000e+01	1.525930000000000144e-05
3.200000000000000000e+01	1.476649999999999999e-05
3.100000000000000000e+01	1.427819999999999994e-05
3.000000000000000000e+01	1.379289999999999969e-05
2.900000000000000000e+01	1.331479999999999998e-05
2.800000000000000000e+01	1.283920000000000067e-05
2.700000000000000000e+01	1.236550000000000045e-05
2.600000000000000000e+01	1.189309999999999968e-05
2.500000000000000000e+01	1.142409999999999960e-05
2.400000000000000000e+01	1.095410000000000071e-05
2.300000000000000000e+01	1.048629999999999987e-05
2.200000000000000000e+01	1.002039999999999981e-05
2.100000000000000000e+01	9.558129999999999575e-06
2.000000000000000000e+01	9.091880000000000439e-06
1.900000000000000000e+01	8.628820000000000844e-06
1.800000000000000000e+01	8.164359999999999874e-06
1.700000000000000000e+01	7.702019999999999824e-06
1.600000000000000000e+01	7.238900000000000267e-06
1.500000000000000000e+01	6.775930000000000192e-06
1.400000000000000000e+01	6.314979999999999972e-06
1.300000000000000000e+01	5.852999999999999696e-06
1.200000000000000000e+01	5.391869999999999590e-06
1.100000000000000000e+01	4.932719999999999928e-06
1.000000000000000000e+01	4.472229999999999701e-06
9.000000000000000000e+00	4.012189999999999612e-06
8.000000000000000000e+00	3.553619999999999868e-06
7.000000000000000000e+00	3.093889999999999867e-06
6.000000000000000000e+00	2.633959999999999850e-06
5.000000000000000000e+00	2.174590000000000045e-06
4.000000000000000000e+00	1.713570000000000011e-06
3.000000000000000000e+00	1.252160000000000010e-06
2.000000000000000000e+00	7.917900000000000246e-07
1.000000000000000000e+00	3.281229999999999796e-07
0.000000000000000000e+00	-1.346909999999999982e-07
-1.000000000000000000e+00	-5.969079999999999608e-07
-2.000000000000000000e+00	-1.065089999999999911e-06
-3.000000000000000000e+00	-1.537620000000000027e-06
-4.000000000000000000e+00	-2.011949999999999854e-06
-5.000000000000000000e+00	-2.492839999999999921e-06
-6.000000000000000000e+00	-2.980449999999999984e-06
-7.000000000000000000e+00	-3.473920000000000021e-06
-8.000000000000000000e+00	-3.980819999999999776e-06
-9.000000000000000000e+00	-4.502930000000000101e-06
-1.000000000000000000e+01	-5.041530000000000332e-06
-1.100000000000000000e+01	-5.603930000000000232e-06
-1.200000000000000000e+01	-6.206039999999999792e-06
-1.300000000000000000e+01	-6.825749999999999827e-06
-1.400000000000000000e+01	-7.480010000000000234e-06
-1.500000000000000000e+01	-8.170810000000000464e-06
-1.600000000000000000e+01	-8.897790000000000744e-06
-1.700000000000000000e+01	-9.668049999999999702e-06
-1.800000000000000000e+01	-1.051319999999999956e-05
-1.900000000000000000e+01	-1.137750000000000076e-05
-2.000000000000000000e+01	-1.229140000000000060e-05
-2.100000000000000000e+01	-1.326069999999999994e-05
-2.200000000000000000e+01	-1.429230000000000036e-05
-2.300000000000000000e+01	-1.538700000000000023e-05
-2.400000000000000000e+01	-1.654480000000000124e-05
-2.500000000000000000e+01	-1.778230000000000083e-05
-2.600000000000000000e+01	-1.909629999999999875e-05
-2.700000000000000000e+01	-2.049979999999999980e-05
-2.800000000000000000e+01	-2.198810000000000044e-05
-2.900000000000000000e+01	-2.356470000000000157e-05
-3.000000000000000000e+01	-2.521819999999999853e-05
-3.100000000000000000e+01	-2.695430000000000043e-05
-3.200000000000000000e+01	-2.872070000000000100e-05
-3.300000000000000000e+01	-3.057579999999999955e-05
-3.400000000000000000e+01	-3.247440000000000201e-05
-3.500000000000000000e+01	-3.439739999999999698e-05
-3.600000000000000000e+01	-3.638819999999999831e-05
-3.700000000000000000e+01	-3.841120000000000249e-05
-3.800000000000000000e+01	-4.041650000000000174e-05
-3.900000000000000000e+01	-4.236910000000000063e-05
-4.000000000000000000e+01	-4.424800000000000055e-05
-4.100000000000000000e+01	-4.595390000000000060e-05
-4.200000000000000000e+01	-4.722830000000000317e-05
-4.300000000000000000e+01	-4.799009999999999984e-05
-4.400000000000000000e+01	-4.845599999999999821e-05
-4.500000000000000000e+01	-4.887289999999999755e-05
-4.600000000000000000e+01	-4.940940000000000165e-05
-4.700000000000000000e+01	-4.982610000000000055e-05
-4.800000000000000000e+01	-5.017560000000000119e-05
-4.900000000000000000e+01	-5.030880000000000188e-05
-5.000000000000000000e+01	-5.015420000000000170e-05
-5.100000000000000000e+01	-4.981309999999999915e-05
-5.200000000000000000e+01	-4.920359999999999762e-05
-5.300000000000000000e+01	-4.829779999999999691e-05
-5.400000000000000000e+01	-4.707280000000000101e-05
-5.500000000000000000e+01	-4.581409999999999899e-05
