# recorded: Tue Jun  9 16:40:02 2020
# sweep_type: iv
# Voltage [V]	Current [A]
5.900000000000000000e+01	3.117519999999999927e-05
5.800000000000000000e+01	2.995550000000000144e-05
5.700000000000000000e+01	2.952140000000000165e-05
5.600000000000000000e+01	2.928839999999999897e-05
5.500000000000000000e+01	2.908650000000000010e-05
5.400000000000000000e+01	2.882450000000000160e-05
5.300000000000000000e+01	2.845569999999999930e-05
5.200000000000000000e+01	2.797900000000000097e-05
5.100000000000000000e+01	2.740690000000000013e-05
5.000000000000000000e+01	2.674479999999999845e-05
4.900000000000000000e+01	2.601190000000000078e-05
4.800000000000000000e+01	2.522449999999999879e-05
4.700000000000000000e+01	2.440950000000000067e-05
4.600000000000000000e+01	2.359169999999999979e-05
4.500000000000000000e+01	2.279680000000000169e-05
4.400000000000000000e+01	2.202990000000000062e-05
4.300000000000000000e+01	2.130179999999999991e-05
4.200000000000000000e+01	2.060479999999999964e-05
4.100000000000000000e+01	1.993279999999999998e-05
4.000000000000000000e+01	1.928809999999999919e-05
3.900000000000000000e+01	1.866679999999999888e-05
3.800000000000000000e+01	1.806099999999999869e-05
3.700000000000000000e+01	1.747219999999999850e-05
3.600000000000000000e+01	1.690069999999999897e-05
3.500000000000000000e+01	1.634019999999999985e-05
3.400000000000000000e+01	1.579530000000000105e-05
3.300000000000000000e+01	1.525740000000000066e-05
3.200000000000000000e+01	1.472529999999999944e-05
3.100000000000000000e+01	1.420059999999999919e-05
3.000000000000000000e+01	1.367970000000000050e-05
2.900000000000000000e+01	1.316689999999999925e-05
2.800000000000000000e+01	1.266269999999999991e-05
2.700000000000000000e+01	1.216450000000000017e-05
2.600000000000000000e+01	1.167299999999999988e-05
2.500000000000000000e+01	1.118710000000000001e-05
2.400000000000000000e+01	1.070549999999999940e-05
2.300000000000000000e+01	1.022370000000000005e-05
2.200000000000000000e+01	9.751320000000000685e-06
2.100000000000000000e+01	9.279150000000000766e-06
2.000000000000000000e+01	8.810619999999999680e-06
1.900000000000000000e+01	8.348100000000000591e-06
1.800000000000000000e+01	7.885660000000000323e-06
1.700000000000000000e+01	7.426159999999999894e-06
1.600000000000000000e+01	6.965829999999999848e-06
1.500000000000000000e+01	6.511860000000000025e-06
1.400000000000000000e+01	6.061790000000000284e-06
1.300000000000000000e+01	5.611929999999999986e-06
1.200000000000000000e+01	5.163120000000000297e-06
1.100000000000000000e+01	4.716930000000000085e-06
1.000000000000000000e+01	4.270890000000000202e-06
9.000000000000000000e+00	3.825840000000000118e-06
8.000000000000000000e+00	3.383299999999999862e-06
7.000000000000000000e+00	2.940610000000000125e-06
6.000000000000000000e+00	2.499159999999999887e-06
5.000000000000000000e+00	2.059619999999999857e-06
4.000000000000000000e+00	1.619709999999999990e-06
3.000000000000000000e+00	1.181270000000000042e-06
2.000000000000000000e+00	7.456029999999999830e-07
1.000000000000000000e+00	3.085309999999999984e-07
0.000000000000000000e+00	-1.269159999999999964e-07
-1.000000000000000000e+00	-5.610280000000000392e-07
-2.000000000000000000e+00	-9.996609999999999145e-07
-3.000000000000000000e+00	-1.439050000000000012e-06
-4.000000000000000000e+00	-1.880149999999999905e-06
-5.000000000000000000e+00	-2.326459999999999830e-06
-6.000000000000000000e+00	-2.778549999999999850e-06
-7.000000000000000000e+00	-3.237520000000000048e-06
-8.000000000000000000e+00	-3.709459999999999972e-06
-9.000000000000000000e+00	-4.196479999999999842e-06
-1.000000000000000000e+01	-4.697680000000000227e-06
-1.100000000000000000e+01	-5.216859999999999718e-06
-1.200000000000000000e+01	-5.763660000000000141e-06
-1.300000000000000000e+01	-6.319390000000000155e-06
-1.400000000000000000e+01	-6.894250000000000103e-06
-1.500000000000000000e+01	-7.490340000000000354e-06
-1.600000000000000000e+01	-8.109620000000000801e-06
-1.700000000000000000e+01	-8.756469999999999529e-06
-1.800000000000000000e+01	-9.428349999999999269e-06
-1.900000000000000000e+01	-1.014949999999999998e-05
-2.000000000000000000e+01	-1.088089999999999945e-05
-2.100000000000000000e+01	-1.164380000000000022e-05
-2.200000000000000000e+01	-1.243800000000000018e-05
-2.300000000000000000e+01	-1.327989999999999969e-05
-2.400000000000000000e+01	-1.415780000000000021e-05
-2.500000000000000000e+01	-1.508020000000000005e-05
-2.600000000000000000e+01	-1.604110000000000130e-05
-2.700000000000000000e+01	-1.702530000000000113e-05
-2.800000000000000000e+01	-1.804830000000000133e-05
-2.900000000000000000e+01	-1.911539999999999998e-05
-3.000000000000000000e+01	-2.022240000000000140e-05
-3.100000000000000000e+01	-2.136070000000000031e-05
-3.200000000000000000e+01	-2.253789999999999982e-05
-3.300000000000000000e+01	-2.375549999999999981e-05
-3.400000000000000000e+01	-2.500349999999999871e-05
-3.500000000000000000e+01	-2.626500000000000010e-05
-3.600000000000000000e+01	-2.757540000000000029e-05
-3.700000000000000000e+01	-2.888290000000000090e-05
-3.800000000000000000e+01	-3.015979999999999879e-05
-3.900000000000000000e+01	-3.139870000000000145e-05
-4.000000000000000000e+01	-3.267250000000000270e-05
