# recorded: Tue Jun  9 13:39:39 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-1.100000000000000000e+02	-3.345050000000000101e-05
-1.090000000000000000e+02	-3.179249999999999757e-05
-1.080000000000000000e+02	-3.061350000000000090e-05
-1.070000000000000000e+02	-2.913340000000000130e-05
-1.060000000000000000e+02	-2.831880000000000066e-05
-1.050000000000000000e+02	-2.768670000000000039e-05
-1.040000000000000000e+02	-2.709700000000000162e-05
-1.030000000000000000e+02	-2.712760000000000095e-05
-1.020000000000000000e+02	-2.810629999999999888e-05
-1.010000000000000000e+02	-2.772919999999999872e-05
-1.000000000000000000e+02	-2.761290000000000120e-05
-9.900000000000000000e+01	-2.732929999999999938e-05
-9.800000000000000000e+01	-2.724249999999999879e-05
-9.700000000000000000e+01	-2.731150000000000101e-05
-9.600000000000000000e+01	-2.702580000000000135e-05
-9.500000000000000000e+01	-2.675550000000000159e-05
-9.400000000000000000e+01	-2.707919999999999986e-05
-9.300000000000000000e+01	-2.712000000000000123e-05
-9.200000000000000000e+01	-2.718020000000000109e-05
-9.100000000000000000e+01	-2.664429999999999831e-05
-9.000000000000000000e+01	-2.673390000000000166e-05
-8.900000000000000000e+01	-2.651819999999999964e-05
-8.800000000000000000e+01	-2.607619999999999947e-05
-8.700000000000000000e+01	-2.578010000000000073e-05
-8.600000000000000000e+01	-2.542810000000000139e-05
-8.500000000000000000e+01	-2.543430000000000143e-05
-8.400000000000000000e+01	-2.536959999999999847e-05
-8.300000000000000000e+01	-2.466750000000000057e-05
-8.200000000000000000e+01	-2.444439999999999927e-05
-8.100000000000000000e+01	-2.483170000000000147e-05
