# recorded: Tue Jun  9 16:26:32 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-5.000000000000000000e+01	-1.213379999999999960e-04
-4.900000000000000000e+01	-1.183620000000000028e-04
-4.800000000000000000e+01	-1.102679999999999953e-04
-4.700000000000000000e+01	-1.006970000000000017e-04
-4.600000000000000000e+01	-9.138099999999999804e-05
-4.500000000000000000e+01	-8.311260000000000110e-05
-4.400000000000000000e+01	-7.485279999999999592e-05
-4.300000000000000000e+01	-6.719709999999999399e-05
-4.200000000000000000e+01	-6.052319999999999678e-05
-4.100000000000000000e+01	-5.475630000000000292e-05
-4.000000000000000000e+01	-4.990259999999999889e-05
-3.900000000000000000e+01	-4.567139999999999780e-05
-3.800000000000000000e+01	-4.190340000000000270e-05
-3.700000000000000000e+01	-3.846509999999999871e-05
-3.600000000000000000e+01	-3.526740000000000051e-05
-3.500000000000000000e+01	-3.234579999999999785e-05
-3.400000000000000000e+01	-2.969619999999999869e-05
-3.300000000000000000e+01	-2.732090000000000129e-05
-3.200000000000000000e+01	-2.513789999999999864e-05
-3.100000000000000000e+01	-2.312390000000000064e-05
-3.000000000000000000e+01	-2.131529999999999902e-05
-2.900000000000000000e+01	-1.965470000000000005e-05
-2.800000000000000000e+01	-1.818550000000000063e-05
-2.700000000000000000e+01	-1.682620000000000163e-05
-2.600000000000000000e+01	-1.560350000000000062e-05
-2.500000000000000000e+01	-1.449490000000000076e-05
-2.400000000000000000e+01	-1.349149999999999949e-05
-2.300000000000000000e+01	-1.257219999999999967e-05
-2.200000000000000000e+01	-1.172590000000000068e-05
-2.100000000000000000e+01	-1.094870000000000073e-05
-2.000000000000000000e+01	-1.022550000000000061e-05
-1.900000000000000000e+01	-9.525899999999999716e-06
-1.800000000000000000e+01	-8.888959999999999678e-06
-1.700000000000000000e+01	-8.281389999999999327e-06
-1.600000000000000000e+01	-7.700999999999999621e-06
-1.500000000000000000e+01	-7.143110000000000122e-06
-1.400000000000000000e+01	-6.602410000000000369e-06
-1.300000000000000000e+01	-6.078900000000000362e-06
-1.200000000000000000e+01	-5.570150000000000363e-06
-1.100000000000000000e+01	-5.071839999999999708e-06
-1.000000000000000000e+01	-4.583670000000000280e-06
-9.000000000000000000e+00	-4.104579999999999926e-06
-8.000000000000000000e+00	-3.630349999999999894e-06
-7.000000000000000000e+00	-3.161109999999999962e-06
-6.000000000000000000e+00	-2.696320000000000046e-06
-5.000000000000000000e+00	-2.230240000000000097e-06
-4.000000000000000000e+00	-1.762939999999999929e-06
-3.000000000000000000e+00	-1.293800000000000005e-06
-2.000000000000000000e+00	-8.180739999999999707e-07
-1.000000000000000000e+00	-3.307369999999999790e-07
