# recorded: Tue Jun  9 16:30:18 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-6.000000000000000000e+01	-1.172190000000000037e-04
-5.900000000000000000e+01	-1.074879999999999982e-04
-5.800000000000000000e+01	-9.462069999999999346e-05
-5.700000000000000000e+01	-8.092870000000000326e-05
-5.600000000000000000e+01	-6.644280000000000021e-05
-5.500000000000000000e+01	-5.428530000000000014e-05
-5.400000000000000000e+01	-4.506370000000000021e-05
-5.300000000000000000e+01	-3.840369999999999960e-05
-5.200000000000000000e+01	-3.354410000000000296e-05
-5.100000000000000000e+01	-2.989909999999999974e-05
-5.000000000000000000e+01	-2.704499999999999941e-05
-4.900000000000000000e+01	-2.473639999999999918e-05
-4.800000000000000000e+01	-2.282400000000000035e-05
-4.700000000000000000e+01	-2.118330000000000096e-05
-4.600000000000000000e+01	-1.976399999999999915e-05
-4.500000000000000000e+01	-1.851650000000000136e-05
-4.400000000000000000e+01	-1.738240000000000149e-05
-4.300000000000000000e+01	-1.634520000000000065e-05
-4.200000000000000000e+01	-1.542059999999999937e-05
-4.100000000000000000e+01	-1.461460000000000065e-05
-4.000000000000000000e+01	-1.389440000000000033e-05
-3.900000000000000000e+01	-1.324339999999999928e-05
-3.800000000000000000e+01	-1.265540000000000084e-05
-3.700000000000000000e+01	-1.211730000000000001e-05
-3.600000000000000000e+01	-1.161549999999999916e-05
-3.500000000000000000e+01	-1.114379999999999993e-05
-3.400000000000000000e+01	-1.068990000000000077e-05
-3.300000000000000000e+01	-1.024400000000000051e-05
-3.200000000000000000e+01	-9.810079999999999763e-06
-3.100000000000000000e+01	-9.397699999999999825e-06
-3.000000000000000000e+01	-9.005520000000000134e-06
-2.900000000000000000e+01	-8.629499999999999286e-06
-2.800000000000000000e+01	-8.286909999999999234e-06
-2.700000000000000000e+01	-7.939080000000000228e-06
-2.600000000000000000e+01	-7.598469999999999774e-06
-2.500000000000000000e+01	-7.265529999999999706e-06
-2.400000000000000000e+01	-6.940810000000000382e-06
-2.300000000000000000e+01	-6.623539999999999606e-06
-2.200000000000000000e+01	-6.311019999999999929e-06
-2.100000000000000000e+01	-6.001080000000000318e-06
-2.000000000000000000e+01	-5.695700000000000372e-06
-1.900000000000000000e+01	-5.392559999999999578e-06
-1.800000000000000000e+01	-5.097159999999999831e-06
-1.700000000000000000e+01	-4.801429999999999869e-06
-1.600000000000000000e+01	-4.508830000000000333e-06
-1.500000000000000000e+01	-4.219389999999999933e-06
-1.400000000000000000e+01	-3.931280000000000247e-06
-1.300000000000000000e+01	-3.644430000000000189e-06
-1.200000000000000000e+01	-3.360230000000000013e-06
-1.100000000000000000e+01	-3.076270000000000110e-06
-1.000000000000000000e+01	-2.793490000000000168e-06
-9.000000000000000000e+00	-2.511870000000000059e-06
-8.000000000000000000e+00	-2.229460000000000166e-06
-7.000000000000000000e+00	-1.946909999999999796e-06
-6.000000000000000000e+00	-1.664269999999999907e-06
-5.000000000000000000e+00	-1.378759999999999993e-06
-4.000000000000000000e+00	-1.090870000000000027e-06
-3.000000000000000000e+00	-8.018839999999999825e-07
-2.000000000000000000e+00	-5.059080000000000062e-07
-1.000000000000000000e+00	-2.049430000000000108e-07
0.000000000000000000e+00	9.740749999999999393e-08
1.000000000000000000e+00	4.105780000000000122e-07
2.000000000000000000e+00	7.327740000000000208e-07
3.000000000000000000e+00	1.063049999999999927e-06
4.000000000000000000e+00	1.404360000000000010e-06
5.000000000000000000e+00	1.760320000000000029e-06
6.000000000000000000e+00	2.133969999999999831e-06
7.000000000000000000e+00	2.531310000000000079e-06
8.000000000000000000e+00	2.954880000000000159e-06
9.000000000000000000e+00	3.426599999999999939e-06
1.000000000000000000e+01	3.922019999999999593e-06
1.100000000000000000e+01	4.466670000000000384e-06
1.200000000000000000e+01	5.065799999999999847e-06
1.300000000000000000e+01	5.733409999999999880e-06
1.400000000000000000e+01	6.479009999999999992e-06
1.500000000000000000e+01	7.316490000000000316e-06
1.600000000000000000e+01	8.259170000000000072e-06
1.700000000000000000e+01	9.314469999999999946e-06
1.800000000000000000e+01	1.054280000000000009e-05
1.900000000000000000e+01	1.184899999999999955e-05
2.000000000000000000e+01	1.329989999999999950e-05
2.100000000000000000e+01	1.486999999999999993e-05
2.200000000000000000e+01	1.659949999999999921e-05
2.300000000000000000e+01	1.844520000000000087e-05
2.400000000000000000e+01	2.040930000000000126e-05
