# recorded: Tue Jun  9 16:27:09 2020
# sweep_type: iv
# Voltage [V]	Current [A]
0.000000000000000000e+00	9.850989999999999459e-08
1.000000000000000000e+00	1.584100000000000004e-06
2.000000000000000000e+00	3.162259999999999942e-06
3.000000000000000000e+00	4.780510000000000076e-06
4.000000000000000000e+00	6.437000000000000373e-06
5.000000000000000000e+00	8.137939999999999879e-06
6.000000000000000000e+00	9.903490000000000280e-06
7.000000000000000000e+00	1.172549999999999980e-05
8.000000000000000000e+00	1.358869999999999917e-05
9.000000000000000000e+00	1.547619999999999931e-05
1.000000000000000000e+01	1.741239999999999951e-05
1.100000000000000000e+01	1.935599999999999899e-05
1.200000000000000000e+01	2.134789999999999935e-05
1.300000000000000000e+01	2.334190000000000093e-05
1.400000000000000000e+01	2.535779999999999970e-05
