# recorded: Tue Jun  9 13:35:56 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-8.000000000000000000e+01	-1.252010000000000063e-05
-7.900000000000000000e+01	-1.117299999999999958e-05
-7.800000000000000000e+01	-1.007100000000000065e-05
-7.700000000000000000e+01	-9.919620000000000412e-06
-7.600000000000000000e+01	-9.443389999999999383e-06
-7.500000000000000000e+01	-8.593800000000000627e-06
-7.400000000000000000e+01	-8.037069999999999268e-06
-7.300000000000000000e+01	-7.624800000000000249e-06
-7.200000000000000000e+01	-7.389210000000000189e-06
-7.100000000000000000e+01	-7.055839999999999686e-06
-7.000000000000000000e+01	-6.726890000000000065e-06
-6.900000000000000000e+01	-6.453749999999999831e-06
-6.800000000000000000e+01	-6.238779999999999753e-06
-6.700000000000000000e+01	-6.082630000000000410e-06
-6.600000000000000000e+01	-5.916130000000000394e-06
-6.500000000000000000e+01	-5.843299999999999602e-06
-6.400000000000000000e+01	-5.718790000000000349e-06
-6.300000000000000000e+01	-5.613110000000000372e-06
-6.200000000000000000e+01	-5.508799999999999671e-06
-6.100000000000000000e+01	-5.372580000000000321e-06
-6.000000000000000000e+01	-5.223409999999999681e-06
-5.900000000000000000e+01	-5.101790000000000158e-06
-5.800000000000000000e+01	-5.051329999999999797e-06
-5.700000000000000000e+01	-4.913050000000000335e-06
-5.600000000000000000e+01	-4.871329999999999827e-06
-5.500000000000000000e+01	-4.776329999999999889e-06
-5.400000000000000000e+01	-4.720010000000000401e-06
-5.300000000000000000e+01	-4.589820000000000213e-06
-5.200000000000000000e+01	-4.548599999999999954e-06
-5.100000000000000000e+01	-4.438729999999999937e-06
-5.000000000000000000e+01	-4.330719999999999593e-06
-4.900000000000000000e+01	-4.213350000000000072e-06
-4.800000000000000000e+01	-4.125029999999999874e-06
-4.700000000000000000e+01	-4.011850000000000392e-06
-4.600000000000000000e+01	-3.925519999999999644e-06
-4.500000000000000000e+01	-3.825960000000000042e-06
-4.400000000000000000e+01	-3.698519999999999954e-06
-4.300000000000000000e+01	-3.562970000000000041e-06
-4.200000000000000000e+01	-3.449790000000000135e-06
-4.100000000000000000e+01	-3.375150000000000203e-06
-4.000000000000000000e+01	-3.296519999999999822e-06
-3.900000000000000000e+01	-3.204430000000000167e-06
-3.800000000000000000e+01	-3.045430000000000080e-06
-3.700000000000000000e+01	-2.926469999999999867e-06
-3.600000000000000000e+01	-2.849600000000000212e-06
-3.500000000000000000e+01	-2.741129999999999876e-06
-3.400000000000000000e+01	-2.657550000000000077e-06
-3.300000000000000000e+01	-2.551330000000000016e-06
-3.200000000000000000e+01	-2.449670000000000044e-06
-3.100000000000000000e+01	-2.375980000000000077e-06
-3.000000000000000000e+01	-2.267630000000000090e-06
-2.900000000000000000e+01	-2.180700000000000145e-06
-2.800000000000000000e+01	-2.123949999999999798e-06
-2.700000000000000000e+01	-2.034719999999999892e-06
-2.600000000000000000e+01	-1.955270000000000170e-06
-2.500000000000000000e+01	-1.875909999999999968e-06
-2.400000000000000000e+01	-1.786299999999999948e-06
-2.300000000000000000e+01	-1.694619999999999964e-06
-2.200000000000000000e+01	-1.616449999999999999e-06
-2.100000000000000000e+01	-1.547529999999999988e-06
-2.000000000000000000e+01	-1.473529999999999934e-06
-1.900000000000000000e+01	-1.405009999999999953e-06
-1.800000000000000000e+01	-1.321959999999999960e-06
-1.700000000000000000e+01	-1.252140000000000094e-06
-1.600000000000000000e+01	-1.196149999999999974e-06
-1.500000000000000000e+01	-1.107699999999999999e-06
-1.400000000000000000e+01	-1.017979999999999908e-06
-1.300000000000000000e+01	-9.451459999999999587e-07
-1.200000000000000000e+01	-8.742690000000000315e-07
-1.100000000000000000e+01	-7.924469999999999490e-07
-1.000000000000000000e+01	-7.220920000000000314e-07
-9.000000000000000000e+00	-6.488749999999999919e-07
-8.000000000000000000e+00	-5.775330000000000404e-07
-7.000000000000000000e+00	-5.027560000000000320e-07
-6.000000000000000000e+00	-4.280530000000000016e-07
-5.000000000000000000e+00	-3.492959999999999800e-07
-4.000000000000000000e+00	-2.766599999999999905e-07
-3.000000000000000000e+00	-2.000340000000000030e-07
-2.000000000000000000e+00	-1.211979999999999978e-07
-1.000000000000000000e+00	-3.868219999999999945e-08
0.000000000000000000e+00	6.729980000000000287e-08
1.000000000000000000e+00	1.891919999999999910e-07
2.000000000000000000e+00	3.174469999999999970e-07
3.000000000000000000e+00	4.509439999999999913e-07
4.000000000000000000e+00	5.706010000000000151e-07
5.000000000000000000e+00	6.988830000000000517e-07
6.000000000000000000e+00	8.238919999999999504e-07
7.000000000000000000e+00	9.548379999999999372e-07
8.000000000000000000e+00	1.057879999999999941e-06
9.000000000000000000e+00	1.177880000000000063e-06
1.000000000000000000e+01	1.298910000000000029e-06
1.100000000000000000e+01	1.421560000000000032e-06
1.200000000000000000e+01	1.547949999999999935e-06
1.300000000000000000e+01	1.688570000000000038e-06
1.400000000000000000e+01	1.834060000000000106e-06
1.500000000000000000e+01	1.980600000000000146e-06
1.600000000000000000e+01	2.134479999999999933e-06
1.700000000000000000e+01	2.294869999999999849e-06
1.800000000000000000e+01	2.455810000000000124e-06
1.900000000000000000e+01	2.628329999999999872e-06
2.000000000000000000e+01	2.771010000000000088e-06
2.100000000000000000e+01	2.942160000000000135e-06
2.200000000000000000e+01	3.129690000000000015e-06
2.300000000000000000e+01	3.314330000000000165e-06
2.400000000000000000e+01	3.505880000000000050e-06
2.500000000000000000e+01	3.718500000000000058e-06
2.600000000000000000e+01	3.896890000000000056e-06
2.700000000000000000e+01	4.120480000000000061e-06
2.800000000000000000e+01	4.327189999999999985e-06
2.900000000000000000e+01	4.492619999999999687e-06
3.000000000000000000e+01	4.659150000000000106e-06
3.100000000000000000e+01	4.795279999999999936e-06
3.200000000000000000e+01	4.949170000000000423e-06
3.300000000000000000e+01	5.050050000000000040e-06
3.400000000000000000e+01	5.196030000000000292e-06
3.500000000000000000e+01	5.343889999999999924e-06
3.600000000000000000e+01	5.471670000000000079e-06
3.700000000000000000e+01	5.616860000000000124e-06
3.800000000000000000e+01	5.774740000000000211e-06
3.900000000000000000e+01	5.910000000000000167e-06
