# recorded: Fri May 29 12:37:12 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-2.028140000000000054e-07
-1.900000000000000000e+01	-1.443329999999999994e-07
-1.800000000000000000e+01	-1.353429999999999964e-07
-1.700000000000000000e+01	-1.268669999999999938e-07
-1.600000000000000000e+01	-1.179979999999999956e-07
-1.500000000000000000e+01	-1.091210000000000015e-07
-1.400000000000000000e+01	-1.004830000000000005e-07
-1.300000000000000000e+01	-5.317690000000000152e-08
-1.200000000000000000e+01	-8.103970000000000006e-08
-1.100000000000000000e+01	-7.480500000000000048e-08
-1.000000000000000000e+01	-6.658349999999999532e-08
-9.000000000000000000e+00	-5.821940000000000184e-08
-8.000000000000000000e+00	-4.992889999999999785e-08
-7.000000000000000000e+00	-4.172599999999999922e-08
-6.000000000000000000e+00	-3.359209999999999942e-08
-5.000000000000000000e+00	-2.550279999999999924e-08
-4.000000000000000000e+00	-1.749790000000000014e-08
-3.000000000000000000e+00	-1.054000000000000041e-08
-2.000000000000000000e+00	-3.795319999999999670e-09
