# recorded: Tue Jun  9 18:26:45 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-1.534179999999999938e-05
-1.900000000000000000e+01	-1.434979999999999939e-05
-1.800000000000000000e+01	-1.353270000000000005e-05
-1.700000000000000000e+01	-1.275890000000000078e-05
-1.600000000000000000e+01	-1.197019999999999934e-05
-1.500000000000000000e+01	-1.119159999999999971e-05
-1.400000000000000000e+01	-1.036889999999999995e-05
-1.300000000000000000e+01	-9.596380000000000437e-06
-1.200000000000000000e+01	-8.836900000000000045e-06
-1.100000000000000000e+01	-8.089760000000000622e-06
-1.000000000000000000e+01	-7.335150000000000405e-06
-9.000000000000000000e+00	-6.575569999999999793e-06
-8.000000000000000000e+00	-5.809780000000000133e-06
-7.000000000000000000e+00	-5.048820000000000392e-06
-6.000000000000000000e+00	-4.288810000000000193e-06
-5.000000000000000000e+00	-3.529190000000000171e-06
-4.000000000000000000e+00	-2.768310000000000097e-06
-3.000000000000000000e+00	-2.005870000000000160e-06
-2.000000000000000000e+00	-1.240930000000000035e-06
-1.000000000000000000e+00	-4.768850000000000513e-07
0.000000000000000000e+00	2.952279999999999752e-07
0.000000000000000000e+00	2.589570000000000073e-07
-1.000000000000000000e+00	-5.656859999999999741e-07
-2.000000000000000000e+00	-1.366529999999999942e-06
-3.000000000000000000e+00	-2.154050000000000154e-06
-4.000000000000000000e+00	-2.933709999999999818e-06
-5.000000000000000000e+00	-3.709289999999999938e-06
-6.000000000000000000e+00	-4.481419999999999692e-06
-7.000000000000000000e+00	-5.248789999999999767e-06
-8.000000000000000000e+00	-6.011269999999999961e-06
-9.000000000000000000e+00	-6.769989999999999703e-06
-1.000000000000000000e+01	-7.521540000000000157e-06
-1.100000000000000000e+01	-8.264759999999999793e-06
-1.200000000000000000e+01	-8.999540000000000236e-06
-1.300000000000000000e+01	-9.722740000000000359e-06
-1.400000000000000000e+01	-1.043460000000000001e-05
-1.500000000000000000e+01	-1.113829999999999973e-05
-1.600000000000000000e+01	-1.183059999999999986e-05
-1.700000000000000000e+01	-1.251610000000000033e-05
-1.800000000000000000e+01	-1.320339999999999966e-05
-1.900000000000000000e+01	-1.390050000000000015e-05
-2.000000000000000000e+01	-1.460709999999999945e-05
