# recorded: Thu May 14 11:40:42 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+00	5.355910000000000378e-09
-1.000000000000000000e+00	5.352040000000000059e-09
-1.000000000000000000e+01	-1.291299999999999986e-05
-9.000000000000000000e+00	-8.391730000000000036e-06
-8.000000000000000000e+00	-4.763280000000000073e-06
-7.000000000000000000e+00	-2.163139999999999926e-06
-6.000000000000000000e+00	-6.648229999999999704e-07
-5.000000000000000000e+00	-8.561380000000000394e-08
-4.000000000000000000e+00	-1.503519999999999953e-08
-3.000000000000000000e+00	-9.131539999999999261e-09
-2.000000000000000000e+00	-3.853310000000000211e-09
-1.000000000000000000e+00	4.918160000000000313e-10
0.000000000000000000e+00	4.794809999999999906e-09
1.000000000000000000e+00	9.435520000000000107e-09
2.000000000000000000e+00	1.451529999999999929e-08
3.000000000000000000e+00	2.027910000000000124e-08
4.000000000000000000e+00	2.624770000000000150e-08
-1.000000000000000000e+01	-1.833799999999999959e-05
-9.000000000000000000e+00	-1.106709999999999946e-05
-8.000000000000000000e+00	-5.868099999999999772e-06
-7.000000000000000000e+00	-2.560020000000000182e-06
-6.000000000000000000e+00	-8.348819999999999713e-07
-5.000000000000000000e+00	-1.337989999999999926e-07
-4.000000000000000000e+00	-2.249379999999999857e-08
-3.000000000000000000e+00	-1.410049999999999944e-08
-2.000000000000000000e+00	-6.257290000000000009e-09
-1.000000000000000000e+00	1.101719999999999996e-09
0.000000000000000000e+00	7.893409999999999939e-09
1.000000000000000000e+00	1.477620000000000032e-08
2.000000000000000000e+00	2.224769999999999877e-08
3.000000000000000000e+00	3.592289999999999803e-08
4.000000000000000000e+00	7.837950000000000381e-08
