# recorded: Tue May 26 10:04:52 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-7.127229999999999692e-07
-1.900000000000000000e+01	-6.346810000000000436e-07
-1.800000000000000000e+01	-5.748299999999999665e-07
-1.700000000000000000e+01	-5.267009999999999992e-07
-1.600000000000000000e+01	-4.831740000000000092e-07
-1.500000000000000000e+01	-4.417120000000000049e-07
-1.400000000000000000e+01	-4.020809999999999858e-07
-1.300000000000000000e+01	-3.643930000000000258e-07
-1.200000000000000000e+01	-3.282300000000000215e-07
-1.100000000000000000e+01	-2.927219999999999923e-07
-1.000000000000000000e+01	-2.576639999999999970e-07
-9.000000000000000000e+00	-2.230570000000000101e-07
-8.000000000000000000e+00	-1.888149999999999871e-07
-7.000000000000000000e+00	-1.550439999999999952e-07
-6.000000000000000000e+00	-1.217430000000000069e-07
-5.000000000000000000e+00	-8.929949999999999836e-08
-4.000000000000000000e+00	-5.746480000000000116e-08
-3.000000000000000000e+00	-3.003350000000000222e-08
-2.000000000000000000e+00	-1.685629999999999855e-08
-1.000000000000000000e+00	-6.810430000000000025e-09
-2.000000000000000000e+01	-9.999869999999999592e-02
-1.900000000000000000e+01	-9.999860000000000693e-02
-1.800000000000000000e+01	-9.999850000000000405e-02
-1.700000000000000000e+01	-9.999869999999999592e-02
-1.600000000000000000e+01	-9.999890000000000168e-02
-1.500000000000000000e+01	-9.999890000000000168e-02
-1.400000000000000000e+01	-9.999879999999999880e-02
-1.300000000000000000e+01	-9.999869999999999592e-02
-1.200000000000000000e+01	-9.999869999999999592e-02
-1.100000000000000000e+01	-9.999860000000000693e-02
-1.000000000000000000e+01	-9.999860000000000693e-02
-9.000000000000000000e+00	-9.999869999999999592e-02
-8.000000000000000000e+00	-9.999890000000000168e-02
-7.000000000000000000e+00	-9.999890000000000168e-02
-6.000000000000000000e+00	-9.999890000000000168e-02
-5.000000000000000000e+00	-9.999869999999999592e-02
-4.000000000000000000e+00	-9.999869999999999592e-02
-3.000000000000000000e+00	-9.999860000000000693e-02
-2.000000000000000000e+00	-9.999860000000000693e-02
-1.000000000000000000e+00	-9.999850000000000405e-02
-2.000000000000000000e+01	-5.595200000000000231e-12
-1.900000000000000000e+01	-2.082179999999999919e-12
-1.800000000000000000e+01	-3.142499999999999989e-12
-1.700000000000000000e+01	-2.497140000000000000e-12
-1.600000000000000000e+01	-2.459390000000000085e-12
-1.500000000000000000e+01	-2.399079999999999911e-12
-1.400000000000000000e+01	-2.208090000000000136e-12
-1.300000000000000000e+01	-1.948070000000000200e-12
-1.200000000000000000e+01	-1.685369999999999916e-12
-1.100000000000000000e+01	-1.527890000000000066e-12
-1.000000000000000000e+01	-1.304710000000000001e-12
-9.000000000000000000e+00	-1.709929999999999965e-12
-8.000000000000000000e+00	-1.016590000000000013e-12
-7.000000000000000000e+00	-4.039410000000000152e-13
-6.000000000000000000e+00	-1.069570000000000056e-12
-5.000000000000000000e+00	6.536360000000000433e-13
-4.000000000000000000e+00	-1.640559999999999979e-13
-3.000000000000000000e+00	1.004700000000000000e-13
-2.000000000000000000e+00	3.213519999999999821e-13
-1.000000000000000000e+00	4.600879999999999678e-13
