# recorded: Mon May  4 12:51:37 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-1.722610000000000068e-12
-1.900000000000000000e+01	-2.600309999999999852e-12
-1.800000000000000000e+01	-1.587840000000000028e-12
-1.700000000000000000e+01	-6.554719999999999761e-13
-1.600000000000000000e+01	-6.315830000000000362e-13
-1.500000000000000000e+01	-4.081610000000000215e-13
-1.400000000000000000e+01	-6.440760000000000316e-13
-1.300000000000000000e+01	-2.169259999999999988e-12
-1.200000000000000000e+01	4.994669999999999760e-12
-1.100000000000000000e+01	-6.156439999999999766e-13
-1.000000000000000000e+01	-2.758629999999999929e-12
-9.000000000000000000e+00	-7.602579999999999701e-12
-8.000000000000000000e+00	-5.645130000000000201e-12
-7.000000000000000000e+00	-2.592899999999999988e-12
-6.000000000000000000e+00	2.090570000000000047e-12
-5.000000000000000000e+00	-6.158709999999999513e-13
-4.000000000000000000e+00	8.510590000000000393e-13
-3.000000000000000000e+00	2.324100000000000164e-13
-2.000000000000000000e+00	5.586730000000000369e-12
-1.000000000000000000e+00	-1.280960000000000067e-11
0.000000000000000000e+00	1.561380000000000118e-11
1.000000000000000000e+00	-2.563740000000000141e-12
2.000000000000000000e+00	-1.628460000000000030e-11
3.000000000000000000e+00	-6.673480000000000358e-12
4.000000000000000000e+00	5.146270000000000219e-14
5.000000000000000000e+00	8.906080000000000357e-12
6.000000000000000000e+00	-2.345939999999999998e-12
7.000000000000000000e+00	4.449830000000000235e-12
8.000000000000000000e+00	-7.548329999999999604e-12
9.000000000000000000e+00	8.040940000000000268e-12
1.000000000000000000e+01	4.116069999999999848e-12
1.100000000000000000e+01	3.272370000000000121e-12
1.200000000000000000e+01	2.967479999999999791e-13
1.300000000000000000e+01	1.972440000000000126e-13
1.400000000000000000e+01	-1.124140000000000000e-14
1.500000000000000000e+01	-2.114299999999999887e-13
1.600000000000000000e+01	-2.242089999999999891e-13
1.700000000000000000e+01	7.830259999999999595e-13
1.800000000000000000e+01	-1.027819999999999982e-13
1.900000000000000000e+01	-1.168609999999999905e-13
