# recorded: Fri May 29 10:43:36 2020
# sweep_type: iv
# Voltage [V]	Current [A]
-2.000000000000000000e+01	-2.792690000000000016e-03
-1.900000000000000000e+01	-2.478409999999999901e-03
-1.800000000000000000e+01	-2.186099999999999849e-03
-1.700000000000000000e+01	-1.915210000000000089e-03
-1.600000000000000000e+01	-1.665119999999999968e-03
-1.500000000000000000e+01	-1.434399999999999955e-03
-1.400000000000000000e+01	-1.221169999999999938e-03
-1.300000000000000000e+01	-1.025410000000000037e-03
-1.200000000000000000e+01	-8.459200000000000053e-04
-1.100000000000000000e+01	-6.815589999999999843e-04
-1.000000000000000000e+01	-5.335129999999999994e-04
-9.000000000000000000e+00	-4.026880000000000043e-04
-8.000000000000000000e+00	-2.897469999999999755e-04
-7.000000000000000000e+00	-1.948189999999999926e-04
-6.000000000000000000e+00	-1.177210000000000067e-04
-5.000000000000000000e+00	-5.787110000000000230e-05
-4.000000000000000000e+00	-1.569979999999999832e-05
-3.000000000000000000e+00	-8.170550000000000063e-07
-2.000000000000000000e+00	-1.580780000000000077e-08
-1.000000000000000000e+00	-7.578999999999999574e-09
0.000000000000000000e+00	9.412089999999999328e-12
